total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
5361.0,1787.0,316.0,2613.0,365.0,06,075,042700,06075042700
2501.0,1574.0,31.0,535.0,146.0,06,075,042800,06075042800
5209.0,2910.0,34.0,1562.0,377.0,06,075,045100,06075045100
3360.0,1197.0,207.0,1564.0,144.0,06,075,045201,06075045201
3396.0,1545.0,53.0,1308.0,302.0,06,075,045202,06075045202
5145.0,2010.0,9.0,2058.0,302.0,06,075,047600,06075047600
4978.0,1656.0,0.0,2389.0,346.0,06,075,047701,06075047701
3541.0,1622.0,14.0,1576.0,199.0,06,075,047702,06075047702
4550.0,1895.0,50.0,2016.0,195.0,06,075,047801,06075047801
3781.0,1745.0,17.0,1590.0,355.0,06,075,047802,06075047802
3610.0,1514.0,0.0,1318.0,396.0,06,075,047902,06075047902
4283.0,1782.0,36.0,2108.0,223.0,06,075,047903,06075047903
3111.0,1704.0,50.0,608.0,302.0,06,075,047904,06075047904
4231.0,2419.0,75.0,325.0,852.0,06,075,060100,06075060100
1595.0,668.0,91.0,384.0,194.0,06,075,060400,06075060400
3539.0,205.0,689.0,1260.0,926.0,06,075,060502,06075060502
7621.0,2640.0,478.0,3419.0,774.0,06,075,060701,06075060701
1488.0,774.0,0.0,282.0,214.0,06,075,060702,06075060702
5787.0,2261.0,27.0,2237.0,844.0,06,075,060703,06075060703
4825.0,568.0,688.0,3037.0,391.0,06,075,061000,06075061000
1856.0,60.0,15.0,1701.0,14.0,06,075,061101,06075061101
2341.0,125.0,85.0,1900.0,81.0,06,075,061102,06075061102
3952.0,484.0,858.0,1105.0,1500.0,06,075,061200,06075061200
3199.0,1703.0,251.0,463.0,408.0,06,075,061401,06075061401
2537.0,1088.0,123.0,770.0,406.0,06,075,061402,06075061402
1837.0,825.0,0.0,705.0,37.0,06,075,061501,06075061501
1774.0,1395.0,23.0,183.0,113.0,06,075,061502,06075061502
3400.0,1420.0,233.0,1580.0,101.0,06,075,061503,06075061503
1443.0,372.0,6.0,846.0,67.0,06,075,061504,06075061504
776.0,50.0,51.0,640.0,35.0,06,075,061505,06075061505
4422.0,1870.0,62.0,2202.0,238.0,06,075,061506,06075061506
1940.0,766.0,0.0,730.0,444.0,06,075,061507,06075061507
2006.0,1013.0,60.0,818.0,115.0,06,075,061508,06075061508
171.0,66.0,50.0,40.0,12.0,06,075,980200,06075980200
25.0,14.0,0.0,5.0,6.0,06,075,980300,06075980300
0.0,0.0,0.0,0.0,0.0,06,075,980401,06075980401
104.0,0.0,0.0,104.0,0.0,06,075,980501,06075980501
970.0,99.0,286.0,317.0,180.0,06,075,980600,06075980600
296.0,82.0,16.0,169.0,10.0,06,075,980900,06075980900
0.0,0.0,0.0,0.0,0.0,06,075,990100,06075990100
0.0,0.0,0.0,0.0,0.0,06,075,990200,06075990200
