tract,num_alpr_cameras,median_income,state_x,county_x,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
000nan,19202,,,,,,,,,,,,,,
503327,1,119618.0,06,085,4525.0,431.0,67.0,2599.0,1264.0,06,085,0.09524861878453039,0.014806629834254143,0.5743646408839779,0.27933701657458565
503329,1,226513.0,06,085,3724.0,293.0,32.0,2930.0,360.0,06,085,0.07867883995703545,0.008592910848549946,0.7867883995703545,0.0966702470461869
503330,1,250001.0,06,085,7418.0,553.0,372.0,6086.0,294.0,06,085,0.07454839579401457,0.050148287948234026,0.820436775411162,0.03963332434618495
503331,1,112270.0,06,085,3652.0,1255.0,31.0,1663.0,504.0,06,085,0.3436473165388828,0.008488499452354874,0.4553669222343921,0.1380065717415115
503333,3,175694.0,06,085,4781.0,812.0,306.0,2304.0,1208.0,06,085,0.1698389458272328,0.06400334658021334,0.48190755072160635,0.2526668061075089
503337,3,105417.0,06,085,4231.0,198.0,175.0,2949.0,734.0,06,085,0.04679744741195935,0.04136138028834791,0.6969983455447885,0.17348144646655636
503338,2,250001.0,06,085,4385.0,913.0,0.0,2975.0,211.0,06,085,0.20820980615735463,0.0,0.6784492588369442,0.04811858608893957
503339,2,250001.0,06,085,3880.0,695.0,0.0,2222.0,586.0,06,085,0.1791237113402062,0.0,0.572680412371134,0.15103092783505154
503509,1,141806.0,06,085,4611.0,231.0,89.0,1446.0,2788.0,06,085,0.05009759271307743,0.019301669919757104,0.313597918022121,0.6046410756885708
503511,2,113750.0,06,085,3625.0,202.0,111.0,1737.0,1500.0,06,085,0.055724137931034486,0.030620689655172412,0.47917241379310344,0.41379310344827586
503601,3,94896.0,06,085,3671.0,630.0,78.0,808.0,2085.0,06,085,0.17161536366112776,0.021247616453282485,0.22010351402887496,0.5679651321165895
503602,1,82824.0,06,085,5465.0,227.0,100.0,1507.0,3592.0,06,085,0.04153705397987191,0.018298261665141813,0.2757548032936871,0.6572735590118939
503707,1,97750.0,06,085,5174.0,187.0,226.0,2188.0,2463.0,06,085,0.036142249710088906,0.04367993815229996,0.42288364901430225,0.4760340162350213
503708,2,108636.0,06,085,2800.0,132.0,15.0,2066.0,510.0,06,085,0.047142857142857146,0.005357142857142857,0.7378571428571429,0.18214285714285713
503709,1,46750.0,06,085,6348.0,289.0,244.0,3894.0,1669.0,06,085,0.045526149968494016,0.03843730308758664,0.6134215500945179,0.2629174543163201
503710,3,51859.0,06,085,3457.0,157.0,22.0,934.0,2212.0,06,085,0.04541509979751229,0.006363899334683252,0.2701764535724617,0.6398611512872433
503711,2,86574.0,06,085,5243.0,161.0,189.0,1404.0,3309.0,06,085,0.030707610146862484,0.036048064085447265,0.2677856189204654,0.631127217242037
503712,2,63554.0,06,085,4472.0,375.0,21.0,1901.0,2134.0,06,085,0.0838550983899821,0.004695885509838999,0.42508944543828264,0.47719141323792486
503713,1,58976.0,06,085,3315.0,147.0,90.0,953.0,2042.0,06,085,0.044343891402714934,0.027149321266968326,0.2874811463046757,0.6159879336349925
503802,2,120278.0,06,085,8061.0,792.0,95.0,2777.0,3816.0,06,085,0.09825083736509117,0.011785138320307654,0.34449820121573005,0.47339039821362117
