total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
7662.0,702.0,16.0,6467.0,190.0,06,001,441503,06001441503
5993.0,880.0,70.0,4302.0,165.0,06,001,441521,06001441521
5291.0,780.0,185.0,3603.0,559.0,06,001,441522,06001441522
4334.0,489.0,90.0,3367.0,232.0,06,001,441523,06001441523
4245.0,196.0,57.0,3862.0,63.0,06,001,441524,06001441524
1125.0,74.0,18.0,818.0,203.0,06,001,441525,06001441525
4920.0,1394.0,548.0,1863.0,847.0,06,001,441601,06001441601
7681.0,1860.0,138.0,3359.0,1807.0,06,001,441602,06001441602
4341.0,752.0,12.0,2055.0,1437.0,06,001,441701,06001441701
4821.0,1192.0,488.0,2222.0,730.0,06,001,441702,06001441702
6793.0,1862.0,142.0,3719.0,842.0,06,001,441800,06001441800
3813.0,630.0,58.0,1788.0,1127.0,06,001,441921,06001441921
5782.0,823.0,232.0,3851.0,693.0,06,001,441923,06001441923
7597.0,1161.0,143.0,4879.0,1041.0,06,001,441924,06001441924
4374.0,506.0,121.0,2506.0,910.0,06,001,441926,06001441926
4431.0,828.0,145.0,2663.0,356.0,06,001,441927,06001441927
3760.0,491.0,503.0,2153.0,235.0,06,001,441928,06001441928
3365.0,592.0,13.0,2530.0,175.0,06,001,441929,06001441929
3128.0,456.0,4.0,2113.0,328.0,06,001,442000,06001442000
5283.0,583.0,67.0,4197.0,80.0,06,001,442100,06001442100
7426.0,1241.0,196.0,5375.0,379.0,06,001,442200,06001442200
5549.0,1090.0,120.0,2808.0,1156.0,06,001,442301,06001442301
6225.0,800.0,176.0,4073.0,789.0,06,001,442302,06001442302
6432.0,1488.0,124.0,3264.0,1301.0,06,001,442400,06001442400
3516.0,578.0,59.0,1771.0,1009.0,06,001,442501,06001442501
3713.0,590.0,127.0,1892.0,959.0,06,001,442502,06001442502
3857.0,1244.0,69.0,1334.0,1042.0,06,001,442601,06001442601
4819.0,1396.0,463.0,1691.0,1039.0,06,001,442602,06001442602
2962.0,1013.0,53.0,1424.0,350.0,06,001,442700,06001442700
2973.0,729.0,49.0,1714.0,409.0,06,001,442800,06001442800
7544.0,1282.0,293.0,4438.0,1208.0,06,001,442900,06001442900
2764.0,486.0,158.0,987.0,927.0,06,001,443001,06001443001
6688.0,984.0,124.0,4010.0,1267.0,06,001,443002,06001443002
4906.0,618.0,31.0,3841.0,268.0,06,001,443102,06001443102
4111.0,775.0,10.0,3036.0,138.0,06,001,443103,06001443103
5723.0,751.0,336.0,4454.0,36.0,06,001,443104,06001443104
4738.0,539.0,25.0,3892.0,134.0,06,001,443105,06001443105
3847.0,588.0,0.0,3075.0,45.0,06,001,443200,06001443200
4313.0,924.0,40.0,2721.0,458.0,06,001,443301,06001443301
3290.0,75.0,41.0,2797.0,304.0,06,001,443321,06001443321
3219.0,637.0,33.0,2106.0,184.0,06,001,443322,06001443322
7875.0,2667.0,518.0,2217.0,1813.0,06,001,444100,06001444100
7058.0,1575.0,27.0,2652.0,2319.0,06,001,444200,06001444200
3841.0,1148.0,153.0,1303.0,900.0,06,001,444301,06001444301
0.0,0.0,0.0,0.0,0.0,06,001,444303,06001444303
5824.0,584.0,77.0,2654.0,2117.0,06,001,444304,06001444304
5563.0,744.0,286.0,1221.0,2994.0,06,001,444400,06001444400
7013.0,1619.0,290.0,2117.0,2549.0,06,001,444500,06001444500
5974.0,1491.0,106.0,3241.0,817.0,06,001,444601,06001444601
4667.0,803.0,155.0,3032.0,436.0,06,001,444602,06001444602
7108.0,1701.0,125.0,4212.0,636.0,06,001,450101,06001450101
6701.0,1392.0,605.0,3310.0,1011.0,06,001,450102,06001450102
5470.0,2329.0,191.0,2204.0,389.0,06,001,450200,06001450200
5434.0,2632.0,300.0,1448.0,925.0,06,001,450300,06001450300
8145.0,3416.0,303.0,2333.0,1320.0,06,001,450400,06001450400
3309.0,1966.0,0.0,867.0,279.0,06,001,450501,06001450501
6083.0,2661.0,27.0,2754.0,364.0,06,001,450502,06001450502
3645.0,1835.0,6.0,1353.0,199.0,06,001,450601,06001450601
5062.0,2356.0,41.0,1630.0,773.0,06,001,450603,06001450603
5178.0,2775.0,33.0,1461.0,572.0,06,001,450604,06001450604
3787.0,1887.0,19.0,1292.0,325.0,06,001,450605,06001450605
6033.0,3062.0,0.0,2460.0,263.0,06,001,450606,06001450606
5541.0,2052.0,183.0,2484.0,668.0,06,001,450607,06001450607
4646.0,1892.0,203.0,1958.0,375.0,06,001,450608,06001450608
4810.0,2293.0,109.0,1559.0,691.0,06,001,450609,06001450609
8575.0,4267.0,120.0,3372.0,555.0,06,001,450701,06001450701
5983.0,2882.0,78.0,1393.0,1301.0,06,001,450741,06001450741
5365.0,2983.0,45.0,1480.0,481.0,06,001,450742,06001450742
7236.0,1287.0,490.0,3851.0,946.0,06,001,450743,06001450743
5916.0,2931.0,19.0,1953.0,633.0,06,001,450744,06001450744
6473.0,1805.0,28.0,4113.0,386.0,06,001,450745,06001450745
3302.0,1681.0,26.0,923.0,617.0,06,001,450746,06001450746
6625.0,1354.0,317.0,4099.0,523.0,06,001,450750,06001450750
12700.0,1593.0,417.0,9346.0,602.0,06,001,450751,06001450751
8915.0,1468.0,232.0,6133.0,666.0,06,001,450752,06001450752
3973.0,2991.0,26.0,454.0,355.0,06,001,451102,06001451102
1588.0,1444.0,21.0,0.0,123.0,06,001,451103,06001451103
7154.0,3717.0,42.0,1937.0,1165.0,06,001,451104,06001451104
7563.0,3844.0,188.0,1274.0,1856.0,06,001,451201,06001451201
5529.0,2628.0,31.0,1513.0,907.0,06,001,451202,06001451202
6473.0,3435.0,94.0,477.0,2034.0,06,001,451300,06001451300
6416.0,2551.0,423.0,560.0,2346.0,06,001,451401,06001451401
2195.0,1320.0,18.0,171.0,532.0,06,001,451403,06001451403
6923.0,2256.0,80.0,404.0,4029.0,06,001,451404,06001451404
4486.0,2733.0,126.0,338.0,717.0,06,001,451501,06001451501
5822.0,2960.0,132.0,1146.0,1050.0,06,001,451503,06001451503
1585.0,778.0,16.0,368.0,335.0,06,001,451504,06001451504
3434.0,2228.0,31.0,594.0,486.0,06,001,451505,06001451505
3379.0,1380.0,107.0,410.0,1362.0,06,001,451506,06001451506
5314.0,3858.0,0.0,592.0,613.0,06,001,451601,06001451601
6967.0,4595.0,157.0,695.0,1165.0,06,001,451602,06001451602
3088.0,1894.0,71.0,478.0,478.0,06,001,451701,06001451701
4005.0,2429.0,28.0,762.0,593.0,06,001,451703,06001451703
4282.0,2945.0,0.0,627.0,494.0,06,001,451704,06001451704
18.0,11.0,0.0,0.0,7.0,06,001,981900,06001981900
48.0,21.0,6.0,14.0,5.0,06,001,982000,06001982000
1020.0,334.0,83.0,399.0,183.0,06,001,982100,06001982100
755.0,428.0,84.0,161.0,33.0,06,001,983200,06001983200
0.0,0.0,0.0,0.0,0.0,06,001,990000,06001990000
